country,Population_2022,Population_2020,Population_2015,Population_2010,Population_2000,Population_1990,Population_1980, Population_1970,net_change,density,land_area,migrants,fertility,med_age,urban,rural,world_share,score,gdp
Zimbabwe,16320537,15669666,14154937,12839771,11834676,10113893,7049926,5202918,217456.0,38.0,386850.0,-116858.0,3.6,19.0,5661912.98,9237858.02,28309.5649,3.663,0.366
Guinea,13859341,13205153,11625998,10270728,8336967,6354145,4972609,4222374,361549.0,53.0,245720.0,-4000.0,4.7,18.0,5144598.81,8046680.19,22425.1743,4.534,0.38
Rwanda,13776698,13146362,11642959,10309031,8109989,7319962,5247532,3896367,325268.0,525.0,24670.0,-9000.0,4.1,20.0,2340954.54,10664348.46,22109.015100000004,3.334,0.359
Benin,13352864,12643123,10932783,9445710,6998023,5133419,3833939,3023443,322049.0,108.0,112760.0,-2000.0,4.9,19.0,5844230.4,6331249.6,19480.768,4.883,0.393
Burundi,12889576,12220227,10727148,9126605,6307659,5483793,4312834,3497834,360204.0,463.0,25680.0,2001.0,5.5,17.0,1672783.56,10275670.44,17922.680999999997,3.775,0.046
Tunisia,12356117,12161723,11557779,10895063,9893316,8440023,6578156,5047404,123900.0,76.0,155360.0,-4000.0,2.2,33.0,8287942.6,3551975.4000000004,17759.877,4.461,0.921
Bolivia,12224110,11936162,11090085,10223270,8592656,7096194,5736088,4585693,159921.0,11.0,1083300.0,-9504.0,2.8,26.0,8073142.83,3627064.17,17550.3105,5.779,0.776
Belgium,11655930,11561717,11248303,10877947,10264343,9959560,9828986,9629376,50295.0,383.0,30280.0,48000.0,1.7,42.0,11366481.98,231969.01999999955,17397.676499999998,6.923,1.356
Haiti,11584996,11306801,10563757,9842880,8360225,6925331,5646676,4680812,139451.0,414.0,27560.0,-35000.0,3.0,24.0,6513022.92,4913333.08,17139.534,3.597,0.323
South Sudan,10913164,10606227,11194299,9714419,6114440,4750817,4192011,3342410,131612.0,18.0,610952.0,-174200.0,4.7,19.0,2804062.5,8412187.5,15702.750000000002,2.853,0.306
Dominican Republic,11228821,10999664,10405832,9775755,8540791,7129004,5755800,4475871,108952.0,225.0,48320.0,-30000.0,2.4,28.0,9236666.95,1630000.0500000007,15213.3338,5.425,1.015
Greece,10384971,10512232,10806641,11033783,11038109,10302255,9307148,8544873,-50401.0,81.0,128900.0,-16000.0,1.3,46.0,8851845.6,1562090.4000000004,13538.1168,5.287,1.181
Jordan,11285869,10928721,9494246,6931258,5056174,3480587,2216903,1557374,101440.0,115.0,88780.0,10220.0,2.8,24.0,9300749.64,919854.3599999994,13286.7852,4.906,0.837
Portugal,10270865,10298192,10365435,10588401,10300626,10007346,9785252,8683631,-29478.0,111.0,91590.0,-6000.0,1.3,46.0,6726329.94,3465079.06,13248.831700000002,5.693,1.221
Azerbaijan,10358074,10284951,9863480,9237202,8190337,7427836,6383060,5425317,91459.0,123.0,82658.0,1200.0,2.1,32.0,5686787.68,4468190.32,13201.471400000002,5.208,1.043
Sweden,10549347,10368969,9849349,9381729,8871043,8548406,8311763,8027702,62886.0,25.0,410340.0,40000.0,1.9,41.0,8897005.04,1213227.960000001,13143.3029,7.343,1.387
Honduras,10432860,10121763,9294505,8450933,6656725,5053234,3777990,2782753,158490.0,89.0,111890.0,-6800.0,2.5,24.0,5660859.81,4270473.19,12910.7329,5.86,0.642
United Arab Emirates,9441129,9287289,8916899,8481771,3275333,1900151,1014048,298084,119873.0,118.0,83600.0,40000.0,1.4,33.0,8523367.12,1387524.8800000008,12884.1596,6.825,1.503
Hungary,9967308,9750573,9844246,9986825,10202055,10375989,10698679,10315366,-24328.0,107.0,90530.0,6000.0,1.5,43.0,6952307.76,2703675.24,11587.1796,5.758,1.201
Tajikistan,9952787,9543207,8524063,7621779,6272998,5417860,4045965,2993019,216627.0,68.0,139960.0,-20000.0,3.6,22.0,2584793.7,6988516.3,11487.972,5.467,0.493
Belarus,9534954,9633740,9700609,9731427,10256483,10428525,9817257,9170786,-3088.0,47.0,202910.0,8730.0,1.7,40.0,7464529.88,1984242.12,11338.5264,5.323,1.067
Austria,8939617,8907777,8642421,8362829,8010428,7678729,7547561,7465301,51296.0,109.0,82409.0,65000.0,1.5,43.0,5138755.77,3876605.23,10818.4332,7.246,1.376
Serbia,7221365,7358005,7519496,7653748,7935022,7987529,7777010,7193533,-34864.0,100.0,87460.0,4000.0,1.5,42.0,4889405.36,3841675.64,9604.1891,5.603,1.004
Israel,9038309,8757489,8007778,7328445,6116958,4803254,3744608,2907307,136158.0,400.0,21640.0,10000.0,3.0,30.0,8071020.81,607496.1900000004,9546.3687,7.139,1.276
Switzerland,8740472,8638613,8281732,7822435,7182059,6711693,6319113,6181227,63257.0,219.0,39516.0,52000.0,1.5,43.0,6412555.1,2253059.9000000004,9532.1765,7.48,1.452
Togo,8848699,8442580,7473229,6571855,5008035,3875947,2838110,2197383,196358.0,152.0,54390.0,-2000.0,4.4,19.0,3573701.62,4737232.38,9142.0274,4.085,0.275
Sierra Leone,8605718,8233969,7314773,6436698,4584067,4325388,3367477,2778557,163768.0,111.0,72180.0,-4200.0,4.3,19.0,3441787.94,4562370.0600000005,8004.158,4.374,0.268
Laos,7529475,7319399,6787419,6323418,5430853,4314443,3297519,2675283,106105.0,32.0,230800.0,-14704.0,2.7,24.0,2625675.12,4667866.88,6564.187800000001,4.796,0.764
Paraguay,6780744,6618695,6177950,5768613,5123819,4059195,3078912,2408787,87902.0,18.0,397300.0,-16556.0,2.4,26.0,4431482.86,2716070.14,6432.7977,5.743,0.855
Bulgaria,6781953,6979175,7309253,7592273,8097691,8767778,8980606,8582950,-51674.0,64.0,108560.0,-4800.0,1.6,45.0,5273653.68,1665364.3200000003,6245.1162,5.011,1.092
Libya,6812341,6653942,6192235,6491988,5154790,4236983,2962720,1909177,93840.0,4.0,1759540.0,-1999.0,2.3,29.0,5372052.66,1515194.34,6198.5223,5.525,1.044
Lebanon,5489739,5662923,6398940,4995800,4320642,3593700,2963702,2381791,-30268.0,667.0,10230.0,-30012.0,2.1,30.0,5319581.28,1500394.7199999995,6137.9784,5.197,0.987
Nicaragua,6948392,6755895,6298598,5855734,5123222,4227820,3303309,2444767,79052.0,55.0,120340.0,-21272.0,2.4,26.0,3783702.75,2854372.25,5310.46,6.105,0.694
Kyrgyzstan,6630623,6424874,5914980,5483774,4935182,4394734,3691209,3016384,108345.0,34.0,191800.0,-4000.0,3.0,26.0,2355273.36,4187152.64,5233.9408,5.261,0.551
El Salvador,6336392,6292731,6231066,6114034,5958482,5367179,4508992,3619090,32652.0,313.0,20720.0,-40539.0,2.1,28.0,4739103.79,1752819.21,5193.5384,6.253,0.794
Turkmenistan,6430770,6250438,5766431,5267970,4569132,3720278,2862903,2201432,89111.0,13.0,469930.0,-5000.0,2.8,27.0,3204534.76,2841757.24,4837.0336,5.247,1.052
Denmark,5882261,5825641,5677796,5550849,5340655,5144623,5125392,4922963,20326.0,137.0,42430.0,15200.0,1.8,42.0,5100286.4,695493.5999999996,4057.046,7.6,1.383
Finland,5540745,5529468,5479461,5363271,5176209,4986545,4779418,4606621,8564.0,18.0,303890.0,14000.0,1.5,43.0,4766323.82,775913.1799999997,3879.5659,7.769,1.34
Slovakia,5643453,5456681,5424444,5396424,5376690,5261305,4973883,4522867,2629.0,114.0,48088.0,1485.0,1.5,41.0,2948458.86,2511650.14,3822.0763000000006,6.198,1.246
Norway,5434319,5379839,5190356,4889741,4491202,4241636,4085776,3875546,42384.0,15.0,365268.0,28000.0,1.7,40.0,4505733.02,922860.9800000004,3800.0158,7.554,1.488
Costa Rica,5180829,5123105,4895242,4622252,3979193,3158253,2414303,1855697,46557.0,100.0,51060.0,4200.0,1.8,33.0,4081726.4,1020431.6,3571.5106000000005,7.167,1.034
Liberia,5302681,5087584,4612329,4019956,2895224,2209731,1932169,1463563,120307.0,53.0,96320.0,-5000.0,4.4,19.0,2691027.83,2386383.17,3046.4466,3.975,0.073
Ireland,5023109,4946119,4665760,4524585,3768950,3485374,3391387,2937637,55291.0,72.0,68890.0,23604.0,1.8,38.0,3116778.21,1830488.79,2968.3602,7.021,1.499
Central African Republic,5579144,5343020,4819333,4660067,3759170,2809221,2415276,2067356,84582.0,8.0,622980.0,-40000.0,4.8,18.0,2082900.22,2761053.7800000003,2906.3724,3.083,0.026
New Zealand,5185288,5061133,4590590,4346338,3855266,3397389,3147168,2824061,39170.0,18.0,263310.0,14881.0,1.9,38.0,4201248.27,627772.7300000004,2897.4126,7.307,1.303
Mauritania,4736139,4498604,3946220,3419461,2695003,2006027,1506694,1122198,123962.0,5.0,1030700.0,5000.0,4.6,20.0,2661771.75,2008003.25,2801.865,4.49,0.57
Panama,4408581,4294396,3957099,3623617,3001731,2449968,1956987,1516188,68328.0,58.0,74340.0,11200.0,2.5,30.0,2941881.28,1384414.7200000002,2595.7776,6.321,1.149
Croatia,4030358,4096868,4254815,4368682,4548434,4873707,4680144,4492638,-25037.0,73.0,55960.0,-8001.0,1.4,44.0,2378417.02,1722301.98,2050.3595,5.432,1.155
Moldova,3272996,3084847,3277388,3678186,4251573,4480199,4103240,3711140,-9300.0,123.0,32850.0,-1387.0,1.3,38.0,1733886.42,2298407.58,2016.147,5.529,0.685
Georgia,3744385,3765912,3771132,3836831,4265172,5391636,5145843,4800426,-7598.0,57.0,69490.0,-10000.0,2.1,38.0,2312926.9,1674878.1,1993.9025,4.519,0.886
Uruguay,3422794,3429086,3402818,3352651,3292224,3117012,2953750,2790265,11996.0,20.0,175020.0,-3000.0,2.0,36.0,3336808.32,139033.68000000017,1390.3368,6.293,1.124
Bosnia and Herzegovina,3233526,3318407,3524324,3811088,4179350,4494310,4199820,3815561,-20181.0,64.0,51000.0,-21585.0,1.3,43.0,1704119.04,1573032.96,1310.8608000000002,5.386,0.945
Mongolia,3398366,3294335,2964749,2702520,2450979,2161433,1697780,1293880,53123.0,2.0,1553560.0,-852.0,2.9,28.0,2202452.14,1084789.86,1314.8968,5.285,0.948
Armenia,2780469,2805608,2878595,2946293,3168523,3556539,3135123,2534377,5512.0,104.0,28470.0,-4998.0,1.8,35.0,1867457.97,1096761.03,1185.6876000000002,4.559,0.85
Jamaica,2827377,2820436,2794445,2733896,2612205,2392030,2135546,1859091,12888.0,273.0,10830.0,-11332.0,2.0,31.0,1629885.95,1333543.05,1185.3716,5.89,0.831
Qatar,2695122,2760385,2414573,1713504,645937,441675,277450,118007,48986.0,248.0,11610.0,40000.0,1.9,32.0,2773712.64,115571.35999999988,1155.7136,6.374,1.684
Albania,2842321,2866849,2882481,2913399,3182021,3295066,2941651,2324731,-3120.0,105.0,27400.0,-14000.0,1.6,36.0,1812660.57,1064578.43,1150.8956,4.719,0.947
Lithuania,2750055,2820267,2963765,3139019,3599637,3785847,3521206,3210147,-37338.0,43.0,62674.0,-32780.0,1.7,45.0,1927891.4,787448.6000000001,814.602,6.149,1.238
Namibia,2567012,2489098,2282704,2099271,1819141,1369011,975994,754467,46375.0,3.0,823290.0,-4806.0,3.4,22.0,1401764.65,1146898.35,764.5989,4.639,0.879
Gambia,2705992,2573995,2253133,1937275,1437539,1040616,718586,528731,68962.0,239.0,10120.0,-3087.0,5.3,18.0,1432391.38,995390.62,728.3345999999999,4.516,0.308
Botswana,2630296,2546402,2305171,2091664,1726985,1341474,938578,592244,47930.0,4.0,566730.0,3000.0,2.9,24.0,1722497.05,637087.95,707.8755,3.488,1.041
Gabon,2388992,2292573,2028517,1711105,1272935,983028,749078,597192,53155.0,9.0,257670.0,3260.0,4.0,23.0,1943969.76,290478.24,670.3344000000001,4.799,1.057
Lesotho,2305825,2254100,2118521,2022747,1998630,1798997,1407672,1023481,16981.0,71.0,30360.0,-10047.0,3.2,24.0,665010.14,1480183.86,643.5581999999999,3.802,0.489
North Macedonia,2093599,2111072,2107962,2093828,2037936,2044174,1907023,1656783,-85.0,83.0,25220.0,-1000.0,1.5,39.0,1229181.81,854177.19,625.0077,5.274,0.983
Slovenia,2119844,2117641,2080862,2057286,1984339,1986024,1901570,1741286,284.0,103.0,20140.0,2000.0,1.6,45.0,1143443.95,935545.05,623.6967,6.118,1.258
Latvia,1850651,1897052,1991955,2101530,2392530,2689391,2572037,2397414,-20545.0,30.0,62200.0,-14837.0,1.7,44.0,1298861.52,583546.48,376.4816,5.94,1.187
Bahrain,1472233,1477469,1362142,1213645,711442,517418,362595,222555,60403.0,2239.0,760.0,47800.0,2.0,32.0,1522840.73,188216.27,342.2114,6.199,1.362
Estonia,1326062,1329444,1314657,1331535,1396877,1570674,1476983,1361999,887.0,31.0,42390.0,3911.0,1.6,42.0,902151.24,424541.76,265.3386,5.893,1.237
Mauritius,1299469,1297828,1293153,1283330,1215930,1090290,954865,830115,2100.0,626.0,2030.0,0.0,1.4,37.0,521577.4,750562.6,254.428,5.888,1.12
Cyprus,1251488,1237537,1187280,1129686,948237,788500,679327,640804,8784.0,131.0,9240.0,5000.0,1.3,37.0,809953.62,398932.38,241.7772,6.046,1.263
Comoros,836774,806166,730216,656024,536758,431119,328328,242351,18715.0,467.0,1861.0,-2000.0,4.2,20.0,253081.55,619613.45,87.26950000000001,3.973,0.274
Bhutan,782455,772506,743274,705516,587207,558442,415257,298894,8516.0,20.0,38117.0,320.0,2.0,28.0,355611.74,417457.26,77.3069,5.082,0.813
Montenegro,627082,629048,633966,631044,633324,621442,589324,530268,79.0,47.0,13450.0,-480.0,1.8,39.0,427094.4,200985.6,62.808,5.523,1.051
Luxembourg,647599,630399,569408,507070,435628,381267,363741,339342,10249.0,242.0,2590.0,9741.0,1.5,40.0,552379.52,75324.47999999998,62.7704,7.09,1.609
Malta,533286,515357,456579,418755,399212,365392,333587,315414,1171.0,1380.0,320.0,900.0,1.5,43.0,410827.5,30922.5,44.175,6.726,1.3
Iceland,372899,366669,331060,318333,281462,255019,228263,204468,2212.0,3.0,100250.0,380.0,1.8,37.0,321130.32,20497.679999999997,0.0,7.494,1.38
